jpg,No,ユニット名,レア,BP,属性,HP,攻撃,防御,速度,総合,スキル,スキル説明,UF,UF説明,タクティクス1,タクティクス1説明,タクティクス2,タクティクス2説明,特性,サポート効果
1814_b.jpg,1814_b,ノンノリア,UR,14,遠,"22,094","8,852","6,894",SS1,"37,840",天使の微笑／絶,味方全員のHPを回復[大],-,　,がんばります,騎士団全体の防御力が特大UP(3分間),-,　,-,-
1815.jpg,1815,ショコラ,UR,14,遠,"17,699","6,177","6,584",S+,"30,460",暗闇の言霊／煌,一定確率で敵を暗闇状態にする[超高確率],-,　,ハイド／絶,攻撃される確率が大DOWN(3分間),-,　,-,-
1817.jpg,1817,ヴァレッタ,UR,14,斬,"16,910","8,224","5,785",SS,"30,919",地魔幻の閃光／煌,縦一列攻撃[特大]自分の防御力UP[特大],-,　,シャドウオーダー,騎士団全体の強襲CB率が小UP(3分間),-,　,-,-
1819.jpg,1819,ロレッタ,UR,14,遠,"19,282","6,704","5,818",S+,"31,804",光芒の聖護,味方全体の防御力をUP[大],-,　,ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,　,-,-
1820.jpg,1820,バルトハウザー,SSR,12,突,"16,506","4,916","5,627",SS-,"27,049",蒼突の覇道,味方突属性の攻撃力をUP[大],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1821.jpg,1821,バルトハウザー,SSR,13,突,"18,034","5,363","5,953",SS-,"29,350",蒼突の覇道,味方突属性の攻撃力をUP[大],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1822.jpg,1822,バルトハウザー,UR,14,突,"19,809","5,890","7,036",SS+,"32,735",蒼突の神威,味方突属性の攻撃力をUP[特大],-,　,アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,　,-,-
1823.jpg,1823,バルトハウザー,UR,15,突,"23,247","6,420","8,758",SS2,"38,425",蒼突の神威,味方突属性の攻撃力をUP[特大],-,　,アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),ポイントライズ／絶,獲得する騎士団戦スコアが大アップ(バトル3回),-,-
1825.jpg,1825,カティア,UR,14,斬,"17,906","8,235","6,108",S,"32,249",地魔幻の閃光／煌,縦一列攻撃[特大]自分の防御力UP[特大],-,　,エクスドライブ／絶,キリ番CB時の獲得ポイント大UP(3分間),-,　,-,-
1827.jpg,1827,アウロラ,UR,14,打,"22,261","7,306","8,440",A+,"38,007",対紫の薙風／煌,打に強く遠に弱い横一列攻撃[特大],-,　,フォートレスオーダー／真,騎士団全体の防御力が中UP(3分間),-,　,-,-
1829.jpg,1829,コライユ,SSR,13,突,"17,646","5,258","6,085",SS-,"28,989",孤撃の言霊／絶,一定確率で敵を範囲不可にする[高確率],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1830.jpg,1830,ロマーヌ,UR,14,突,"17,969","6,139","7,389",SS+,"31,497",蒼突の神威,味方突属性の攻撃力をUP[特大],-,　,キャッスルウィークネス／真,対戦騎士団の城強度Lvが中DOWN(3分間),-,　,-,-
1832.jpg,1832,クラウス,UR,14,斬,"19,836","7,562","5,943",S,"33,341",対蒼の薙風／煌,突に強く斬に弱い横一列攻撃[特大],-,　,メナス／真,対戦騎士団全体の防御力が中DOWN(3分間),-,　,-,-
1834.jpg,1834,カリス,UR,14,突,"19,250","6,583","6,893",SS+,"32,726",強奪者の雷／煌,単体攻撃（宝箱優先／追加ダメージ）[特大],-,　,バーサク／真,強襲が発生無効、バトル時に攻・防中UP(3分間),-,　,-,-
1834_a.jpg,1834_a,カリス,UR,14,突,26957,8095,10064,SS4,"45,116",強奪者の雷／煌＋,単体攻撃(宝箱優先／追加ダメージ)[極大],-,　,バーサク／真,強襲が発生無効、バトル時に攻・防中UP(3分間),-,　,-,-
1834_b.jpg,1834_b,カリス,UR,14,突,25025,7759,9308,SS4,"42,092",強奪者の雷／煌,単体攻撃（宝箱優先／追加ダメージ）[特大],-,　,喧嘩上等！,強襲が発生無効、バトル時に攻・防特大UP(5分間),-,　,-,-
1836.jpg,1836,ノリス,UR,14,斬,"17,507","8,044","6,256",S,"31,807",地幻氷の縦十字／煌,十字型攻撃[特大]自分の防御力UP[特大],-,　,エースオーダー／真,騎士団全体の攻・防が中UP(3分間),-,　,-,-
1838.jpg,1838,レティシア,UR,14,突,"20,649","6,145","6,430",SS+,"33,224",天焔幻の一閃／煌,横一列攻撃[特大]自分の攻撃力UP[特大],-,　,アサルトオーダー／真,騎士団全体の攻撃力が中UP(3分間),-,　,-,-
1840.jpg,1840,ラム,UR,14,打,"21,267","6,074","9,759",A+,"37,100",癒やしの光／煌,最もダメージが多い味方1人のHP回復[特大],-,　,カウンター／絶,迎撃時にパーティ全体の攻・防が大UP(3分間),-,　,-,-
1842.jpg,1842,ヒルダ,UR,14,遠,"20,432","7,127","5,180",S+,"32,739",浄化の一撃／真,単体固定ダメージ[中]+味方ステータスDOWN解除,-,　,エッジノート／絶,CB時に獲得ポイント大UP＆BPが大回復(3回),-,　,-,-
1846.jpg,1846,ヴァルム,SSR,13,打,"19,128","5,252","7,990",A-,"32,370",聖天消滅／遠翠,敵遠属性の攻撃力と防御力をDOWN[大],-,　,リヴァイブ／絶,高確率で戦闘不能ユニットを復帰,-,　,-,-
1848.jpg,1848,フルール,SSR,13,突,"18,265","4,736","6,431",SS-,"29,432",対翠の突風／真 ,遠に強く打に弱い縦一列攻撃[中],-,　,リヴァイブ／絶,高確率で戦闘不能ユニットを復帰,-,　,-,-
1849.jpg,1849,ランドルフ,UR,14,遠,"20,839","6,161","5,597",S+,"32,597",暗闇の言霊／煌,一定確率で敵を暗闇状態にする[超高確率],-,　,シャドウ／真,バトル時の強襲CB率が中UP(3分間),-,　,-,-
1850.jpg,1850,エレン,UR,14,打,"21,105","5,965","9,678",A+,"36,748",沈黙の言霊／煌,一定確率で敵を沈黙状態にする[超高確率],-,　,ジャガーノート／絶,バトルで敵を全滅するとBPが大回復(バトル3回),-,　,-,-
1851.jpg,1851,ミカサ,UR,15,斬,"18,917","9,260","7,885",SS-,"36,062",この世界は残酷だ…,X字型攻撃[特大]自分の防御力UP[特大],-,　,アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),シャドウ／真,バトル時の強襲CB率が中UP(3分間),-,-
1853.jpg,1853,ジャン,UR,14,打,"24,564","7,020","8,021",A+,"39,605",天魔幻の閃光／絶,縦一列攻撃[大]自分の攻撃力UP[大],-,　,メナス／真,対戦騎士団全体の防御力が中DOWN(3分間),-,　,-,-
1854.jpg,1854,ハンジ,UR,14,遠,"17,734","7,296","5,569",S+,"30,599",光芒の神威,味方全体の攻撃力をUP[特大],-,　,キャッスルウィークネス／真,対戦騎士団の城強度Lvが中DOWN(3分間),-,　,-,-
1856.jpg,1856,コニー,UR,14,斬,"18,485","8,498","5,900",S,"32,883",対紫の薙風／煌,打に強く遠に弱い横一列攻撃[特大],-,　,ブリッツ,強襲CBの発生確率・強襲時獲得ポイントUP(3分間),-,　,-,-
1857.jpg,1857,リヴァイ,UR,15,突,"26,018","6,080","8,275",SS2,"40,373",よく喋るな豚野郎…,横一列攻撃[特大]自分の防御力UP[特大],-,　,ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),バーサク／真,強襲が発生無効、バトル時に攻・防中UP(3分間),-,-
1859.jpg,1859,クリスタ,UR,14,遠,"20,326","7,092","5,456",S+,"32,874",治癒の一撃／絶,単体固定ﾀﾞﾒｰｼﾞ[大]+味方状態異常解除,-,　,エースオーダー／真,騎士団全体の攻・防が中UP(3分間),-,　,-,-
1860.jpg,1860,エルヴィン,UR,14,打,"22,328","6,328","8,709",A+,"37,365",紫打の神威,味方打属性の攻撃力をUP[特大],-,　,オラクル／絶,パーティ全体のスキル発動率が大UP(3分間),-,　,-,-
1862.jpg,1862,リザ,SSR,13,遠,"15,813","5,516","5,692",S-,"27,021",夢限の息吹／真,味方1体を蘇生[HP中],-,　,リヴァイブ／絶,高確率で戦闘不能ユニットを復帰,-,　,-,-
1864.jpg,1864,ラエド,UR,14,遠,"18,778","6,936","5,283",SS+,"30,997",天魔幻の閃光／煌,縦一列攻撃[特大]自分の攻撃力UP[特大],-,　,ブリッツ,強襲CBの発生確率・強襲時獲得ポイントUP(3分間),-,　,-,-
1866.jpg,1866,アルマース,UR,15,遠,"23,003","7,178","7,211",SS,"37,392",光芒の神護 ,味方全体の防御力をUP[特大],-,　,エース／煌,パーティ全体の攻・防が特大UP(3分間),ジャガーノート／絶,バトルで敵を全滅するとBPが大回復(バトル3回),-,-
1867.jpg,1867,バカラック,UR,14,遠,"19,832","6,921","5,594",S+,"32,347",天幻射の五連撃／真,ランダム5連続攻撃[中]自分の攻撃力UP[中],-,　,クラウストルム／真,ヘイトUP＆迎撃時にパーティ全体の攻・防が中UP(3分間),-,　,-,-
1869.jpg,1869,ケルヴィン,UR,14,斬,"18,387","8,449","5,950",S,"32,786",天魔幻の閃光／煌,縦一列攻撃[特大]自分の攻撃力UP[特大],-,　,アサルトオーダー／真,騎士団全体の攻撃力が中UP(3分間),-,　,-,-
1871.jpg,1871,ベルナデッタ,UR,15,突,"23,474","6,450","8,735",SS2,"38,659",対翠の突風／煌,遠に強く打に弱い縦一列攻撃[特大],-,　,アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),オラクル／絶,パーティ全体のスキル発動率が大UP(3分間),-,-
1873.jpg,1873,オドレイ,UR,15,打,"28,285","7,178","10,899",S,"46,362",地焔幻の一閃／煌,横一列攻撃[特大]自分の防御力UP[特大],-,　,エース／煌,パーティ全体の攻・防が特大UP(3分間),ポイントライズ／絶,獲得する騎士団戦スコアが大アップ(バトル3回),-,-
1875.jpg,1875,アリーナ,UR,14,遠,"19,175","6,684","6,096",S+,"31,955",光芒の聖天,味方全体の攻撃力と防御力をUP[大],-,　,スラッシャー／絶,キリ番キャッスルブレイク時の獲得ポイントUP(3回),-,　,-,-
1876.jpg,1876,ルギス,SSR,12,斬,"15,258","7,016","4,771",A+,"27,045",天幻光の交叉線／真,X字型攻撃[中]自分の攻撃力UP[中],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1877.jpg,1877,ルギス,SSR,13,斬,"16,381","7,412","5,433",A+,"29,226",天幻光の交叉線／真,X字型攻撃[中]自分の攻撃力UP[中],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1878.jpg,1878,ルギス,UR,14,斬,"18,143","8,278","6,078",S,"32,499",孤狼絶吼,X字型攻撃[特大]自分の攻撃力UP[特大],-,　,アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,　,-,-
1879.jpg,1879,ルギス,UR,15,斬,"20,715","9,371","6,812",SS-,"36,898",孤狼絶吼,X字型攻撃[特大]自分の攻撃力UP[特大],-,　,アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),エース／絶,パーティ全体の攻・防が大UP(3分間),-,-
1881.jpg,1881,ヴェロニク,UR,14,突,"19,469","5,898","6,672",SS3,"32,039",幻神の六連撃／真,ランダムで6連続攻撃[中],-,　,メナス／真,対戦騎士団全体の防御力が中DOWN(3分間),-,　,-,-
1882.jpg,1882,マリユス,UR,15,斬,"20,675","9,157","7,329",SS-,"37,161",天幻氷の縦十字／煌,十字型攻撃[特大]自分の攻撃力UP[特大],-,　,フォースオブウィッシュ／絶,騎士団全員のBPを大回復,アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,-
1883.jpg,1883,エルザ,UR,14,斬,"18,506","9,005","6,328",S,"33,839",暗闇の言霊／煌,一定確率で敵を暗闇状態にする[超高確率],-,　,アクセラレーター／絶,パーティ全体の速度が大UP(3分間),-,　,-,-
1884.jpg,1884,シンシア,UR,15,突,"23,095","6,378","8,357",SS2,"37,830",対翠の突風／煌,遠に強く打に弱い縦一列攻撃[特大],-,　,ストリーム／絶,パーティ全体の攻撃力・速度が大UP(3分間),バーサク／真,強襲が発生無効、バトル時に攻・防中UP(3分間),-,-
1885.jpg,1885,モーリス,UR,15,打,"29,421","7,543","11,027",S,"47,991",強奪者の雷／煌,単体攻撃（宝箱優先／追加ダメージ）[特大],-,　,シャドウ／真,バトル時の強襲CB率が中UP(3分間),リヴァイブ／絶,高確率で戦闘不能ユニットを復帰,-,-
1886.jpg,1886,ナタン,UR,14,遠,"20,458","7,010","5,880",S+,"33,348",対紫の突風／煌,打に強く遠に弱い縦一列攻撃[特大],-,　,アサルトオーダー／真,騎士団全体の攻撃力が中UP(3分間),-,　,-,-
1888.jpg,1888,プレンシェル,UR,14,打,"22,786","6,789","9,549",A+,"39,124",天幻光の交叉線／煌,X字型攻撃[特大]自分の攻撃力UP[特大],-,　,キャッスルヴェール／真,城の強度Lvが中UP(3分間),-,　,-,-
1888_a.jpg,1888_a,プレンシェル,UR,14,打,30766,8826,12888,SS-,"52,480",天幻光の交叉線／煌＋,X字型攻撃[極大]自分の攻撃力UP[極大],-,　,キャッスルヴェール／真,城の強度Lvが中UP(3分間),-,　,-,-
1888_b.jpg,1888_b,プレンシェル,UR,14,打,28477,8490,11943,SS-,"48,910",天幻光の交叉線／煌,X字型攻撃[特大]自分の攻撃力UP[特大],-,　,再起への一撃,城の強度Lvが特大UP(3分間),-,　,-,-
1890.jpg,1890,ミチル,UR,15,遠,"21,983","7,051","7,358",SS,"36,392",遠翠の神威,味方遠属性の攻撃力をUP[特大],-,　,ジャガーノート／絶,バトルで敵を全滅するとBPが大回復(バトル3回),エッジノート／絶,CB時に獲得ポイント大UP＆BPが大回復(3回),-,-
1892.jpg,1892,ロラン,SSR,13,斬,"15,174","8,111","4,716",A+,"28,001",斬紅の覇道,味方斬属性の攻撃力をUP[大],-,　,バーサク,強襲が発生無効、バトル時に攻・防小UP(3分間),-,　,-,-
1893.jpg,1893,フィネガン,UR,14,遠,"17,175","6,684","5,798",S+,"29,657",対翠の交叉線／煌,遠に強く打に弱いX字型攻撃[特大],-,　,アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,　,-,-
1895.jpg,1895,ウルビ,UR,14,斬,"18,074","8,311","5,799",S,"32,184",斬紅の神威,味方斬属性の攻撃力をUP[特大],-,　,ストリーム／真,パーティ全体の攻撃力・速度が中UP(3分間),-,　,-,-
1897.jpg,1897,マフムード,UR,15,斬,"18,104","9,271","6,105",SS-,"33,480",天焔幻の一閃／煌,横一列攻撃[特大]自分の攻撃力UP[特大],-,　,アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),ポイントライズ／絶,獲得する騎士団戦スコアが大アップ(バトル3回),-,-
1898.jpg,1898,ブール,UR,14,打,"23,568","6,858","8,878",A+,"39,304",幻光の交叉線／煌,X字型に攻撃[特大],-,　,メナス／真,対戦騎士団全体の防御力が中DOWN(3分間),-,　,-,-
1909.jpg,1909,チヨ,UR,14,斬,"18,524","8,512","6,428",S,"33,464",猛毒の言霊／煌,一定確率で敵を毒状態にする[超高確率],-,　,エースオーダー／真,騎士団全体の攻・防が中UP(3分間),-,　,-,-
1911.jpg,1911,ルーカン,UR,15,突,"24,608","6,628","8,623",SS2,"39,859",天幻神の六連撃／真,ランダム6連続攻撃[中]自分の攻撃力UP[中],-,　,エース／煌,パーティ全体の攻・防が特大UP(3分間),キャッスルヴェール／真,城の強度Lvが中UP(3分間),-,-
1913.jpg,1913,マリー,UR,14,打,"23,843","6,868","8,347",A+,"39,058",地魔幻の閃光／煌,縦一列攻撃[特大]自分の防御力UP[特大],-,　,エクスドライブ／絶,キリ番CB時の獲得ポイント大UP(3分間),-,　,-,-
1913_a.jpg,1913_a,マリー,UR,14,打,"31,004","8,590","11,266",SS-,"50,860",地魔幻の閃光／煌＋,縦一列攻撃[極大]自分の防御力UP[特大],-,　,エクスドライブ／絶,キリ番CB時の獲得ポイント大UP(3分間),-,　,-,-
1913_b.jpg,1913_b,マリー,UR,14,打,"28,610","8,233","10,006",SS-,"46,849",地魔幻の閃光／煌,縦一列攻撃[特大]自分の防御力UP[特大],-,　,奇跡の魔女,キリ番CB時の獲得ポイント特大UP(3分間),-,　,-,-
1915.jpg,1915,カオル,UR,15,遠,"22,940","7,395","7,487",SS,"37,822",幻射の六連撃／真,ランダムで6連続攻撃[中],-,　,フォートレス／煌,パーティ全体の防御力が特大UP(3分間),エース／絶,パーティ全体の攻・防が大UP(3分間),-,-
1919.jpg,1919,グレゴール,SSR,13,突,"19,775","5,286","5,375",SS-,"30,436",地幻神の四連撃／真,ランダム4連続攻撃[中]自分の防御力UP[中],-,　,ランページ／真,バトルで獲得する騎士団戦スコアが中アップ(3分間),-,　,-,-
1920.jpg,1920,ナターシャ,UR,14,斬,"18,148","8,068","6,217",S,"32,433",破岩の縦十字／煌,十字型に固定ダメージ[特大],-,　,エッジノート／絶,CB時に獲得ポイント大UP＆BPが大回復(3回),-,　,-,-
1921.jpg,1921,クー・モリモル,UR,15,斬,"18,373","8,653","6,022",SS-,"33,048",癒やしの光／煌,最もダメージが多い味方1人のHP回復[特大],-,　,アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),キャッスルヴェール／真,城の強度Lvが中UP(3分間),-,-
1923.jpg,1923,ジェニー,UR,15,斬,"19,249","9,088","6,246",SS-,"34,583",斬紅の業火／絶,次の攻撃でダメージが上昇する[大],-,　,ポイントライズ／煌,獲得する騎士団戦スコアが特大アップ(バトル3回),アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,-
1925.jpg,1925,エリシール,UR,14,遠,"19,430","6,556","6,224",S+,"32,210",天使の微笑／絶,味方全員のHPを回復[大],-,　,フォートレスオーダー／真,騎士団全体の防御力が中UP(3分間),-,　,-,-
1926.jpg,1926,エメーリエ,UR,15,斬,"20,120","9,147","6,339",SS1,"35,606",対蒼の突風／煌,突に強く斬に弱い縦一列攻撃[特大],-,　,エース／煌,パーティ全体の攻・防が特大UP(3分間),ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,-
1927.jpg,1927,ローズ,UR,14,遠,"19,434","6,822","5,436",S+,"31,692",遠翠の聖天,味方遠属性の攻撃力と防御力をUP[大],-,　,オラクル／絶,パーティ全体のスキル発動率が大UP(3分間),-,　,-,-
1928.jpg,1928,ローズ,SSR,13,遠,"15,993","6,111","5,014",S-,"27,118",暗闇の言霊／絶,一定確率で敵を暗闇状態にする[高確率],-,　,バーサク／真,強襲が発生無効、バトル時に攻・防中UP(3分間),-,　,-,-
1930.jpg,1930,マクシミリアン,SSR,13,遠,"17,905","6,015","5,516",S-,"29,436",遠翠の略奪／絶,敵単体に攻撃しつつHP回復[大],-,　,フォースオブウィッシュ／真,騎士団全員のBPを中回復,-,　,-,-
1931.jpg,1931,マクシミリアン,UR,15,遠,"22,569","6,958","7,648",SS,"37,175",マクシ・ミリアン,ランダムで6連続攻撃[中],-,　,フォートレス／煌,パーティ全体の防御力が特大UP(3分間),キャッスルヴェール／真,城の強度Lvが中UP(3分間),-,-
1932.jpg,1932,ベルトラン,SSR,12,打,"19,974","5,267","6,268",A-,"31,509",地幻光の交叉線／絶,X字型攻撃[大]自分の防御力UP[大],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1933.jpg,1933,ベルトラン,SSR,13,打,"18,665","6,273","6,889",A-,"31,827",地幻光の交叉線／絶,X字型攻撃[大]自分の防御力UP[大],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1934.jpg,1934,ベルトラン,UR,14,打,"23,815","6,955","9,502",A+,"40,272",地幻光の交叉線／煌,X字型攻撃[特大]自分の防御力UP[特大],-,　,アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,　,-,-
1935.jpg,1935,ベルトラン,UR,15,打,"26,881","7,479","10,126",S,"44,486",地幻光の交叉線／煌,X字型攻撃[特大]自分の防御力UP[特大],-,　,アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,-
1937.jpg,1937,アナ,SSR,13,打,"18,571","6,378","6,784",A-,"31,733",天幻光の交叉線／絶,X字型攻撃[大]自分の攻撃力UP[大],-,　,リザレクション／真,中確率でパーティ全員を復帰(全滅時のみ使用可),-,　,-,-
1938.jpg,1938,クリシーヌ,UR,15,遠,"20,978","7,214","6,239",SS,"34,431",睨磔呪縛,一定確率で敵を範囲不可にする[超高確率],-,　,バーサク／絶,強襲が発生無効、バトル時に攻・防大UP(3分間),アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,-
1940.jpg,1940,セシル,UR,15,遠,"21,772","7,313","7,016",SS,"36,101",遠翠の神護,味方遠属性の防御力をUP[特大],-,　,エース／煌,パーティ全体の攻・防が特大UP(3分間),オラクル／絶,パーティ全体のスキル発動率が大UP(3分間),-,-
1942.jpg,1942,ラクロワ,UR,15,遠,"23,317","7,188","6,896",SS,"37,401",強奪者の雷／煌,単体攻撃（宝箱優先／追加ダメージ）[特大],-,　,フォートレス／煌,パーティ全体の防御力が特大UP(3分間),シャドウ／真,バトル時の強襲CB率が中UP(3分間),-,-
1943.jpg,1943,主人公＆マリユス,UR,15,斬,"21,024","9,282","7,359",SS-,"37,665",魔幻の閃光／煌,縦一列に攻撃[特大],-,　,アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),スラッシャー／絶,キリ番キャッスルブレイク時の獲得ポイントUP(3回),-,-
1944.jpg,1944,シャルロ,UR,15,斬,"21,528","9,208","7,647",SS-,"38,383",地焔幻の一閃／煌,横一列攻撃[特大]自分の防御力UP[特大],-,　,ファランクス／絶,騎士団全体の強襲率大DOWN・防御力大UP(3分間),ストリーム／真,パーティ全体の攻撃力・速度が中UP(3分間),-,-
1945.jpg,1945,アスル,UR,15,遠,"26,847","8,250","8,098",SS,"43,195",灼,敵全体に攻撃[極大],-,　,ランページ／煌,バトルで獲得する騎士団戦スコアが特大アップ(3分間),アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,-
1946.jpg,1946,主人公,UR,15,斬,"19,066","9,450","6,332",SS-,"34,848",魔幻の閃光／煌,縦一列に攻撃[特大],不死者の猛撃 ,単体固定ダメ[超特大]自分に固定ダメ[極大],アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,-
1947.jpg,1947,マリエル,UR,15,斬,"20,708","9,082","7,437",SS-,"37,227",魔幻の閃光／煌,縦一列に攻撃[特大],堕天使の息吹,味方1体を蘇生[HP特大],レクトノート／絶,バトルで敵を全滅するとBPが大回復(3分間),アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,-
1948.jpg,1948,アーデルハイド,UR,15,突,"21,462","6,229","7,820",SS+,"35,511",蒼突の神護,味方突属性の防御力をUP[特大],-,　,エース／煌,パーティ全体の攻・防が特大UP(3分間),ジャガーノート／絶,バトルで敵を全滅するとBPが大回復(バトル3回),-,-
1950.jpg,1950,ジム,SSR,13,斬,"16,529","7,966","5,236",A+,"29,731",地幻氷の縦十字／絶,十字型攻撃[大]自分の防御力UP[大],-,　,アサルトオーダー,騎士団全体の攻撃力が小UP(3分間),-,　,-,-
1951.jpg,1951,シーラ,UR,14,突,"21,920","6,272","7,270",SS+,"35,462",孤撃の言霊／煌,一定確率で敵を範囲不可にする[超高確率],-,　,ジャガーノート／絶,バトルで敵を全滅するとBPが大回復(バトル3回),-,　,-,-
1953.jpg,1953,キュオスティ,UR,14,斬,"18,123","8,995","6,257",S,"33,375",斬紅の神護,味方斬属性の防御力をUP[特大],-,　,エクスドライブ／絶,キリ番CB時の獲得ポイント大UP(3分間),-,　,-,-
1955.jpg,1955,デフロット,UR,15,突,"23,876","6,588","8,567",SS2,"39,031",対翠の突風／煌,遠に強く打に弱い縦一列攻撃[特大],-,　,ストリーム／絶,パーティ全体の攻撃力・速度が大UP(3分間),エース／絶,パーティ全体の攻・防が大UP(3分間),-,-
1957.jpg,1957,トト,UR,14,打,"23,769","7,011","8,254",S+,"39,034",幻光の交叉線／煌,X字型に攻撃[特大],-,　,メナス／真,対戦騎士団全体の防御力が中DOWN(3分間),-,　,-,-
1959.jpg,1959,ロイ,UR,15,遠,"22,055","7,128","7,013",SS,"36,196",遠鋭の六連撃／真,ﾗﾝﾀﾞﾑ6連続攻撃[中][低確率]でﾀﾞﾒｰｼﾞ2倍,-,　,オラクル／煌,パーティ全体のスキル発動率が特大UP(3分間),ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,-
1961.jpg,1961,バルバラ,UR,14,打,"22,763","6,737","9,272",A+,"38,772",紫打の神威,味方打属性の攻撃力をUP[特大],-,　,アサルトオーダー／真,騎士団全体の攻撃力が中UP(3分間),-,　,-,-
1963.jpg,1963,アデリーナ,UR,15,遠,"21,844","7,247","6,934",SS,"36,025",天幻射の五連撃／真,ランダム5連続攻撃[中]自分の攻撃力UP[中],-,　,フォートレス／煌,パーティ全体の防御力が特大UP(3分間),リヴァイブ／絶,高確率で戦闘不能ユニットを復帰,-,-
1964.jpg,1964,ジム,UR,15,斬,"20,668","9,404","7,010",SS-,"37,082",対紫の突風／煌,打に強く遠に弱い縦一列攻撃[特大],-,　,アサルト／煌,パーティ全体の攻撃力が特大UP(3分間),ブリッツ,強襲CBの発生確率・強襲時獲得ポイントUP(3分間),-,-
1965.jpg,1965,マリー,UR,15,打,"26,549","7,286","10,266",S,"44,101",天幻光の交叉線／煌,X字型攻撃[特大]自分の攻撃力UP[特大],-,　,フォースオブウィッシュ／絶,騎士団全員のBPを大回復,スラッシャー／絶,キリ番キャッスルブレイク時の獲得ポイントUP(3回),-,-
1970.jpg,1970,ダムディン,UR,14,突,"21,594","6,213","7,191",SS+,"34,998",癒やしの光／煌,最もダメージが多い味方1人のHP回復[特大],-,　,ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,　,-,-
1972.jpg,1972,ノエル,UR,15,斬,"21,190","9,286","7,417",SS-,"37,893",天焔幻の一閃／煌,横一列攻撃[特大]自分の攻撃力UP[特大],-,　,エース／煌,パーティ全体の攻・防が特大UP(3分間),ストリーム／真,パーティ全体の攻撃力・速度が中UP(3分間),-,-
1974.jpg,1974,ベルナデッタ,UR,15,突,"23,431","6,559","8,673",SS2,"38,663",蒼突の神威,味方突属性の攻撃力をUP[特大],-,　,ランページ／煌,バトルで獲得する騎士団戦スコアが特大アップ(3分間),エース／絶,パーティ全体の攻・防が大UP(3分間),-,-
1975.jpg,1975,ジャック,UR,15,斬,"20,371","9,175","7,597",SS-,"37,143",魔幻の閃光／煌,縦一列に攻撃[特大],-,　,レクトノート／絶,バトルで敵を全滅するとBPが大回復(3分間),アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,-
1976.jpg,1976,ディディエ,UR,15,打,"26,948","7,313","10,639",S,"44,900",幻光の交叉線／煌,X字型に攻撃[特大],夢幻の暴威,自分の攻撃力と防御力をUP[極大],バーサク／絶,強襲が発生無効、バトル時に攻・防大UP(3分間),エース／絶,パーティ全体の攻・防が大UP(3分間),-,-
1978.jpg,1978,ジュネ,UR,15,斬,"20,458","9,203","7,053",SS-,"36,714",対紫の薙風／煌,打に強く遠に弱い横一列攻撃[特大],-,　,ステルス／絶,強襲CBの発生確率・強襲時獲得ポイント大UP(3回),ポイントライズ／絶,獲得する騎士団戦スコアが大アップ(バトル3回),-,-
1980.jpg,1980,ヴィンセント,UR,14,打,"21,324","6,770","9,470",A+,"37,564",焔幻の一閃／煌,横一列に攻撃[特大],-,　,エースオーダー／真,騎士団全体の攻・防が中UP(3分間),-,　,-,-
1981.jpg,1981,エリック,UR,14,斬,"17,935","8,278","6,918",S,"33,131",破岩の縦十字／煌,十字型に固定ダメージ[特大],-,　,ストリーム／真,パーティ全体の攻撃力・速度が中UP(3分間),-,　,-,-
